Scenario_ID,Strategy_Family,Id_Amplitude_A,Pulse_Frequency_Hz,Positive_Duty_Percent,Expected_Id_Mean_A,Window_Start_s,Window_Stop_s,Window_Duration_s,IdRef_Min_A,IdRef_Max_A,IdRef_Mean_A,IdRef_RMS_A,IdRef_PositiveFraction,IdRef_Transition_Count,IdFb_Mean_A,IdFb_RMS_A,IqFb_RMS_A,Id_Tracking_RMS_Error_A,Vdc_Min_V,Vdc_Max_V,Vdc_Ripple_V,Ibatt_RMS_A,Idc_RMS_A,Pbatt_Mean_W,PdcInput_Mean_W,PhvLoss_Mean_W,ModulationIndex_Mean,ModulationIndex_Max,VoltageMargin_Min_V,ControlSaturation_Any,PbattHeatProxy_Mean_W,Pcu_Mean_W,PinvProxy_Mean_W,PlossKnown_Mean_W,MaxAbsSpeed_rad_s,ReactionTorque_RMS_Nm,ClosedLoop_Final,EdcLink_Final_J,DeltaEdcLink_Final_J,EnergyLedgerValid_Final,DCLinkStorage_AllNaN,GateOverlap_Count,GateComplementMismatch_Count,SimulationStop_s
C00_Base,baseline,40,50,50,0,0.04,0.08,0.04,-40,40,0,40,0.5,4,0.0686477040538029,39.7159029626445,7.63005590220626,13.7670267315664,63.1348332475133,73.9370265796896,10.8021933321764,5.43984868829784,16.8458240165289,100.956437176194,97.4088917812507,0.591839075031514,0.498561540515477,0.949273375220403,3.46523545604749,0,3.72858617269854,31.8936286735753,60.8866749660788,101.175961193792,0,2.0203456668694,1,1.10358619579443,1.10358619579443,0,1,0,0,0.08
C01_Freq_Low,frequency,40,25,50,0,0.04,0.08,0.04,-40,40,6.93889390390723e-15,40,0.5,2,-0.087361753494649,40.4775484255194,4.81918545307998,11.5248286656217,63.1953313359943,73.3167601501599,10.1214288141656,7.26051575582791,22.0736810457477,102.364758889972,102.270688262934,1.05430178081251,0.49465830254025,0.94991397379934,3.39450789311451,0,6.64210121911878,32.4023012619431,59.8567065411933,99.6174474058591,0,1.25280734252648,1,1.01034612516885,1.01034612516885,0,1,0,0,0.08
C02_Freq_High,frequency,40,100,50,0,0.04,0.08,0.04,-40,40,-2.08166817117217e-14,40,0.5,8,-0.0760617687106939,39.0922887918191,6.08798430877595,17.9402611181189,63.1400499634698,73.9633126426736,10.8232626792038,6.40351437868504,19.1719990805844,98.7289303271307,99.5183827395705,0.820099927960521,0.487698025631748,0.94999998301597,3.40665419463166,0,5.16662954615128,30.5227766205742,58.3152044271935,97.5143446507522,0,1.59940227649877,1,1.01225350080729,1.01225350080729,0,1,0,0,0.08
C03_Duty_Low,duty_bias,40,50,25,-20,0.04,0.08,0.04,-40,40,-20,40,0.25,4,-19.9314036773443,39.7251705026969,7.73688174358042,13.7472911873109,63.2016191600537,73.9564309414655,10.7548117814118,5.45293675529509,16.8923381268958,101.220372007572,97.7439361439782,0.594690385144963,0.504563748233387,0.949022486927292,3.48640622595631,0,3.74654942641326,31.9399959563586,60.9805126555086,92.5425729265696,0,2.05535375422842,1,1.10510173611884,1.10510173611884,0,1,0,0,0.08
C04_Duty_High,duty_bias,40,50,75,20,0.04,0.08,0.04,-40,40,20,40,0.75,4,20.1058947075755,39.7236889884631,7.64860225625004,13.8695832324957,63.1532345618038,73.9366829967003,10.7834484348965,5.47017457684756,16.9192508470537,100.989650642661,98.1688405240296,0.598456198023787,0.502312935819907,0.949815413109337,3.40823921812324,0,3.77027404754986,31.911215374866,60.9119212401474,109.633296607822,0,2.02669628604724,1,1.07702152006403,1.07702152006403,0,1,0,0,0.08
C05_Amplitude_Low,amplitude,20,50,50,0,0.04,0.08,0.04,-20,20,0,20,0.5,4,0.00163215507631501,19.6316611571219,10.1266684310347,5.19246065275152,67.1841857019343,70.6609416014577,3.47675589952343,1.25645833712305,6.11363731614109,51.9198592900516,51.8499060917229,0.0315737510585206,0.519332467118525,0.895037422356981,7.40028287965008,0,0.198914631668679,9.5150548993532,34.9522897799122,48.1292621888878,0,2.69520160030251,1,1.10581714491613,1.10581714491613,0,1,0,0,0.08
C06_Amplitude_High,amplitude,60,50,50,0,0.04,0.08,0.04,-60,60,0,60,0.5,4,0.00098032198379977,59.1003126170434,4.72760368721452,23.8145926141649,59.5562742269583,77.5246040499528,17.9683298229945,11.2682722882549,32.3537433648977,169.058278552101,164.396853844691,2.53947920724506,0.494440937495364,0.94999210641281,3.446137091289,0,15.9987190056439,68.5463451670848,87.2965748397055,219.675558380159,0,1.23964997435842,1,0.95965784225761,0.95965784225761,0,1,0,0,0.08
