Scenario_ID,Parameter_Family,HVPath_R_Ohm,DCLink_C_F,Rs_Ohm,R_pack_proxy_Ohm,IGBT_Ron_ref_Ohm,IGBT_Vf_ref_V,Window_Start_s,Window_Stop_s,Window_Duration_s,Vdc_Min_V,Vdc_Max_V,Vdc_Ripple_V,Ibatt_RMS_A,Idc_RMS_A,Pbatt_Mean_W,PdcInput_Mean_W,PhvLoss_Mean_W,IbattSq_Mean_A2,HVLoss_Coeff_Ohm,Id_Mean_A,Iq_Mean_A,Modulation_Mean,PbattHeatProxy_Mean_W,Pcu_Mean_W,Piron_Mean_W,PinvProxy_Mean_W,PlossKnown_Mean_W,MaxAbsSpeed_rad_s,ReactionTorque_RMS_Nm,ClosedLoop_Final,EdcLink_Final_J,DeltaEdcLink_Final_J,EnergyLedgerValid_Final,DCLinkStorage_AllNaN,GateOverlap_Count,GateComplementMismatch_Count,SimulationStop_s
S00_Base,baseline,0.01,0.00047,0.013,0.126,0.001,1.2,0.04,0.08,0.04,63.1348332475133,73.9370265796896,10.8021933321764,5.43984868829784,16.8458240165289,100.956437176194,97.4088917812507,0.591839075031514,29.5919537515757,0.02,0.0686477040538029,-0.00395571456853743,0.498561540515477,3.72858617269854,31.8936286735753,0,60.8866749660788,101.175961193792,0,2.0203456668694,1,1.10358619579443,1.10358619579443,0,1,0,0,0.08
S01_HVPathR_Low,physical_path,0.005,0.00047,0.013,0.126,0.001,1.2,0.04,0.08,0.04,63.1756516656017,73.9753298283937,10.799678162792,5.58781527612815,17.0106550611009,100.831607712422,97.8055948410533,0.312236795601311,31.2236795601311,0.01,0.0639653362511428,-0.0207251822027323,0.50784149067239,3.93418362457651,31.9635219434448,0,60.9998531481667,100.383218495868,0,2.05495171180861,1,1.09396045428307,1.09396045428307,0,1,0,0,0.08
S02_HVPathR_High,physical_path,0.02,0.00047,0.013,0.126,0.001,1.2,0.04,0.08,0.04,63.1053145572038,74.0050143741635,10.8996998169597,5.35070736394119,17.094010155846,101.75955578457,97.6375621853243,1.14520277178138,28.6300692945345,0.04,0.0843580723173525,-0.000969851799935558,0.502927013041297,3.60738873111134,31.9285484494249,0,60.8849940419033,101.258065038576,0,2.00931445138644,1,1.1052427093641,1.1052427093641,0,1,0,0,0.08
S03_DCLinkC_Low,physical_path,0.01,0.000235,0.013,0.126,0.001,1.2,0.04,0.08,0.04,58.6601981972096,76.5965330988465,17.9363349016369,11.2225861342294,20.9830275451886,101.422687931489,97.5588317274661,2.51892879080394,125.946439540197,0.02,0.378725654979382,-0.00626498372446998,0.444684914702275,15.8692513820648,31.6164129700419,0,58.9555695849569,100.019562459527,0,1.15013145129336,1,0.60027092994196,0.60027092994196,0,1,0,0,0.08
S04_DCLinkC_High,physical_path,0.01,0.00094,0.013,0.126,0.001,1.2,0.04,0.08,0.04,65.8921211484144,71.700914417701,5.80879326928658,3.64936771598705,19.5337971920462,99.8841616760986,96.3181570345836,0.266357694529771,13.3178847264886,0.02,-0.222513206129416,-0.0493100133209679,0.504365332502281,1.67805347553756,31.9173735305279,0,60.0224549170325,90.8340589433287,0,1.71135388813299,1,2.30987648139127,2.30987648139127,0,1,0,0,0.08
S05_Rs_Low,physical_path,0.01,0.00047,0.0065,0.126,0.001,1.2,0.04,0.08,0.04,63.33421801833,74.0086631039532,10.6744450856232,5.37148331089333,16.8081697649322,85.5868234723752,82.3386780258894,0.577056659184112,28.8528329592056,0.02,0.085353472917065,-0.00760897047336335,0.517542865970398,3.6354569528599,16.0142922922445,0,61.1537758705467,84.3520820623041,0,2.11770243753469,1,1.10022836251926,1.10022836251926,0,1,0,0,0.08
S06_Rs_High,physical_path,0.01,0.00047,0.026,0.126,0.001,1.2,0.04,0.08,0.04,63.0504563365067,73.7040998027524,10.6536434662457,5.58959306836674,17.0674715139088,132.508035648164,130.160328405993,0.624871013398669,31.2435506699335,0.02,0.134593602901152,0.00606146641009077,0.47288360024633,3.93668738441162,63.5889974602125,0,60.6840866851141,135.020109019537,0,1.93037924111897,1,1.05959142488488,1.05959142488488,0,1,0,0,0.08
S07_RpackProxy_Low,audit_proxy,0.01,0.00047,0.013,0.063,0.001,1.2,0.04,0.08,0.04,63.1348332475133,73.9370265796896,10.8021933321764,5.43984868829784,16.8458240165289,100.956437176194,97.4088917812507,0.591839075031514,29.5919537515757,0.02,0.0686477040538029,-0.00395571456853743,0.498561540515477,1.86429308634927,31.8936286735753,0,60.8866749660788,99.4624570051563,0,2.0203456668694,1,1.10358619579443,1.10358619579443,0,1,0,0,0.08
S08_RpackProxy_High,audit_proxy,0.01,0.00047,0.013,0.252,0.001,1.2,0.04,0.08,0.04,63.1348332475133,73.9370265796896,10.8021933321764,5.43984868829784,16.8458240165289,100.956437176194,97.4088917812507,0.591839075031514,29.5919537515757,0.02,0.0686477040538029,-0.00395571456853743,0.498561540515477,7.45717234539708,31.8936286735753,0,60.8866749660788,104.602969571065,0,2.0203456668694,1,1.10358619579443,1.10358619579443,0,1,0,0,0.08
S09_IGBTLoss_Low,audit_proxy,0.01,0.00047,0.013,0.126,0.0005,0.9,0.04,0.08,0.04,63.1348332475133,73.9370265796896,10.8021933321764,5.43984868829784,16.8458240165289,100.956437176194,97.4088917812507,0.591839075031514,29.5919537515757,0.02,0.0686477040538029,-0.00395571456853743,0.498561540515477,3.72858617269854,31.8936286735753,0,45.2567607862773,84.8690161748959,0,2.0203456668694,1,1.10358619579443,1.10358619579443,0,1,0,0,0.08
