Scenario_ID,Window_State,SimulationStop_s,Window_Start_s,Window_Stop_s,ClosedLoop_Final,MaxAbsSpeed_rad_s,GateOverlap_Count,GateComplementMismatch_Count,EnergyLedgerValid_Final,ElectricalLedgerValid_Final,ThermalFields_AllNaN,DeltaE_batt_Model_J,DeltaE_batt_Recalc_J,DeltaE_batt_AbsError_J,P_batt_heat_Mean_W,P_hv_loss_Mean_W,P_inv_Mean_W,P_cu_Mean_W,P_iron_Mean_W,P_heat_input_Recalc_W,P_dc_link_storage_Model_W,P_dc_link_storage_Recalc_W,P_dc_link_storage_AbsError_W,P_thermal_storage_Model_W,P_heat_rejection_Model_W,P_thermal_balance_Error_W,P_mech_Model_W,P_unmodeled_Model_W,P_unmodeled_Recalc_W,P_unmodeled_AbsError_W,Residual_dc_link_Model_W,Residual_dc_link_Recalc_W,Residual_dc_link_AbsError_W
T00_UnfinishedWindow,unfinished,0.005,NaN,NaN,1,0,0,0,0,0,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN
T01_CompletedWindow,completed,0.04,0.03,0.04,1,0,0,0,1,1,0,-1.28540044107756,-1.28540044107755,3.5527136788005e-15,22.2679479076007,1.06088365448312,45.1702939233439,31.5166890561482,0,100.015814541576,-18.2411414271946,-18.2411414271945,3.5527136788005e-15,-111.739818340343,211.755632881919,2.8421709430404e-14,0,46.7653709933744,46.7653709933744,0,0.804413374569961,0.804413374569734,2.27373675443232e-13
