case_id,case_name,branch_count,mismatch_label,T_init_C,SOC,frequency_Hz,duty,current_amplitude_scale,effective_current_scale,dTdt_C_per_min,time_to_0C_min,P_battery_kW,P_motor_kW,P_inverter_kW,P_heat_loss_kW,P_net_kW,heating_efficiency_pct,I_motor_rms_A,I_motor_peak_A,I_branch_rms_max_A,I_branch_peak_max_A,I_bus_rms_A,I_switch_rms_A,motor_rms_margin,motor_peak_margin,branch_peak_margin,frequency_margin,plating_reference_margin,spec_charge_30s_A,spec_discharge_30s_A,spec_charge_60s_A,spec_discharge_60s_A,plating_charge_reference_A,branch_heat_spread_pct,branch_energy_spread_30min_kWh,current_scale,limiting_factor,safety_status,E_battery_heat_30min_kWh,E_motor_loss_30min_kWh,E_inverter_loss_30min_kWh,E_heat_loss_30min_kWh,E_net_heat_30min_kWh,E_total_electric_30min_kWh,SOC_delta_equiv_pct,P_branch_1_kW,P_branch_2_kW,P_branch_3_kW,note
三包并联单电机,三包并联整体输出，单电机脉冲,3,nominal,-20,0.5,1250,0.4,0.4,0.4,0.380608235187729,52.5474704721912,26.0716641103594,0.649518288748367,2.11018825749435,0,26.0716641103594,90.4281118677555,373.071696120302,583.637509563561,124.3572320401,194.545836521187,373.071696120302,373.071696120302,1.47424745891912,1.33270642575191,Inf,3.2,3.63159212979959,3.6,97.2348830142814,6.98875721665147,97.2348830142814,706.51112879562,0,0,1,none,电气硬限制满足; 析锂参考边界未触发; 30s/60s规格窗口仅作低频参考,13.0358320551797,0.324759144374183,1.05509412874717,0,13.0358320551797,14.4156853283011,2.08420685545023,8.69055470345315,8.69055470345315,8.69055470345315,"温升偏弱; 未触发电机/MCU限流; 支路峰值高于30s窗口参考, 高频边界需试验确认; 三支路同步分流, 需核对支路均衡和母线压力; 电气硬限制满足; 析锂参考边界未触发; 30s/60s规格窗口仅作低频参考"
三包并联单电机,三包并联整体输出，单电机脉冲,3,nominal,-20,0.5,1250,0.4,0.6,0.533082570300766,0.676000728971485,29.585766912455,46.3060499345467,1.153613600761,3.36768308602124,0,46.3060499345467,91.1045982382937,497.195046685691,777.817459305202,165.731682228564,259.272486435067,497.195046685691,497.195046685691,1.10620571074935,1,Inf,3.2,2.72497532811897,3.6,97.2348830142814,6.98875721665147,97.2348830142814,706.51112879562,0,0,0.888470950501276,motor_peak,已按电流硬限制缩放; 析锂参考边界未触发; 30s/60s规格窗口仅作低频参考,23.1530249672734,0.576806800380502,1.68384154301062,0,23.1530249672734,25.4136733106645,3.67428609393085,15.4353499781822,15.4353499781822,15.4353499781822,"温升有初步意义; 已触发电机/MCU限流; 支路峰值高于30s窗口参考, 高频边界需试验确认; 三支路同步分流, 需核对支路均衡和母线压力; 已按电流硬限制缩放; 析锂参考边界未触发; 30s/60s规格窗口仅作低频参考"
三包并联单电机,三包并联整体输出，单电机脉冲,3,nominal,-20,0.5,1250,0.4,0.8,0.533082570300766,0.676000728971485,29.585766912455,46.3060499345467,1.153613600761,3.36768308602124,0,46.3060499345467,91.1045982382937,497.195046685691,777.817459305202,165.731682228564,259.272486435067,497.195046685691,497.195046685691,1.10620571074935,1,Inf,3.2,2.72497532811897,3.6,97.2348830142814,6.98875721665147,97.2348830142814,706.51112879562,0,0,0.666353212875957,motor_peak,已按电流硬限制缩放; 析锂参考边界未触发; 30s/60s规格窗口仅作低频参考,23.1530249672734,0.576806800380502,1.68384154301062,0,23.1530249672734,25.4136733106645,3.67428609393085,15.4353499781822,15.4353499781822,15.4353499781822,"温升有初步意义; 已触发电机/MCU限流; 支路峰值高于30s窗口参考, 高频边界需试验确认; 三支路同步分流, 需核对支路均衡和母线压力; 已按电流硬限制缩放; 析锂参考边界未触发; 30s/60s规格窗口仅作低频参考"
三包并联单电机,三包并联整体输出，单电机脉冲,3,nominal,-20,0.5,1250,0.4,1,0.533082570300766,0.676000728971485,29.585766912455,46.3060499345467,1.153613600761,3.36768308602124,0,46.3060499345467,91.1045982382937,497.195046685691,777.817459305202,165.731682228564,259.272486435067,497.195046685691,497.195046685691,1.10620571074935,1,Inf,3.2,2.72497532811897,3.6,97.2348830142814,6.98875721665147,97.2348830142814,706.51112879562,0,0,0.533082570300766,motor_peak,已触发电流硬限制缩放; 析锂参考边界未触发; 30s/60s规格窗口仅作低频参考,23.1530249672734,0.576806800380502,1.68384154301062,0,23.1530249672734,25.4136733106645,3.67428609393085,15.4353499781822,15.4353499781822,15.4353499781822,"温升有初步意义; 已触发电机/MCU限流; 支路峰值高于30s窗口参考, 高频边界需试验确认; 三支路同步分流, 需核对支路均衡和母线压力; 已触发电流硬限制缩放; 析锂参考边界未触发; 30s/60s规格窗口仅作低频参考"
三包并联单电机,三包并联整体输出，单电机脉冲,3,nominal,-20,0.5,1250,0.4,1.2,0.533082570300766,0.676000728971485,29.585766912455,46.3060499345467,1.153613600761,3.36768308602124,0,46.3060499345467,91.1045982382937,497.195046685691,777.817459305202,165.731682228564,259.272486435067,497.195046685691,497.195046685691,1.10620571074935,1,Inf,3.2,2.72497532811897,3.6,97.2348830142814,6.98875721665147,97.2348830142814,706.51112879562,0,0,0.444235475250638,motor_peak,已按电流硬限制缩放; 析锂参考边界未触发; 30s/60s规格窗口仅作低频参考,23.1530249672734,0.576806800380502,1.68384154301062,0,23.1530249672734,25.4136733106645,3.67428609393085,15.4353499781822,15.4353499781822,15.4353499781822,"温升有初步意义; 已触发电机/MCU限流; 支路峰值高于30s窗口参考, 高频边界需试验确认; 三支路同步分流, 需核对支路均衡和母线压力; 已按电流硬限制缩放; 析锂参考边界未触发; 30s/60s规格窗口仅作低频参考"
三包并联单电机,三包并联整体输出，单电机脉冲,3,nominal,-20,0.5,1250,0.5,0.4,0.4,0.0586186925459272,341.188094298251,4.01538043939601,0.100034390617738,0.529463180286599,0,4.01538043939601,86.4474896970732,146.410180133276,252.860690565157,48.8033933777585,84.2868968550524,146.410180133276,146.410180133276,3.75656938267094,3.07607108707462,Inf,3.2,8.38221781981844,3.6,97.2348830142814,6.98875721665147,97.2348830142814,706.51112879562,0,0,1,none,电气硬限制满足; 析锂参考边界未触发; 30s/60s规格窗口仅作低频参考,2.00769021969801,0.0500171953088691,0.2647315901433,0,2.00769021969801,2.32243900515018,0.335776148387215,1.33846014646534,1.33846014646534,1.33846014646534,"温升偏弱; 未触发电机/MCU限流; 支路峰值高于30s窗口参考, 高频边界需试验确认; 三支路同步分流, 需核对支路均衡和母线压力; 电气硬限制满足; 析锂参考边界未触发; 30s/60s规格窗口仅作低频参考"
三包并联单电机,三包并联整体输出，单电机脉冲,3,nominal,-20,0.5,1250,0.5,0.6,0.6,0.131892058228336,151.639153021445,9.03460598864103,0.225077378889911,0.938887371144842,0,9.03460598864103,88.5869816481178,219.615270199913,379.291035847736,73.2050900666378,126.430345282579,219.615270199913,219.615270199913,2.50437958844729,2.05071405804975,Inf,3.2,5.5881452132123,3.6,97.2348830142814,6.98875721665147,97.2348830142814,706.51112879562,0,0,1,none,电气硬限制满足; 析锂参考边界未触发; 30s/60s规格窗口仅作低频参考,4.51730299432051,0.112538689444956,0.469443685572421,0,4.51730299432051,5.09928536933789,0.737250105189667,3.01153532954701,3.01153532954701,3.01153532954701,"温升偏弱; 未触发电机/MCU限流; 支路峰值高于30s窗口参考, 高频边界需试验确认; 三支路同步分流, 需核对支路均衡和母线压力; 电气硬限制满足; 析锂参考边界未触发; 30s/60s规格窗口仅作低频参考"
三包并联单电机,三包并联整体输出，单电机脉冲,3,nominal,-20,0.5,1250,0.5,0.8,0.8,0.234474770183709,85.2970235745628,16.0615217575841,0.400137562470953,1.44477329581305,0,16.0615217575841,89.6969379783156,292.820360266551,505.721381130315,97.606786755517,168.573793710105,292.820360266551,292.820360266551,1.87828469133547,1.53803554353731,Inf,3.2,4.19110890990922,3.6,97.2348830142814,6.98875721665147,97.2348830142814,706.51112879562,0,0,1,none,电气硬限制满足; 析锂参考边界未触发; 30s/60s规格窗口仅作低频参考,8.03076087879203,0.200068781235477,0.722386647906523,0,8.03076087879203,8.95321630793403,1.29444798373135,5.35384058586135,5.35384058586135,5.35384058586135,"温升偏弱; 未触发电机/MCU限流; 支路峰值高于30s窗口参考, 高频边界需试验确认; 三支路同步分流, 需核对支路均衡和母线压力; 电气硬限制满足; 析锂参考边界未触发; 30s/60s规格窗口仅作低频参考"
三包并联单电机,三包并联整体输出，单电机脉冲,3,nominal,-20,0.5,1250,0.5,1,1,0.366366828412045,54.5900950877202,25.0961277462251,0.625214941360864,2.04712095429121,0,25.0961277462251,90.3763638848857,366.025450333189,632.151726412893,122.008483444396,210.717242137631,366.025450333189,366.025450333189,1.50262775306838,1.23042843482985,Inf,3.2,3.35288712792738,3.6,97.2348830142814,6.98875721665147,97.2348830142814,706.51112879562,0,0,1,none,电气硬限制满足; 析锂参考边界未触发; 30s/60s规格窗口仅作低频参考,12.5480638731125,0.312607470680432,1.02356047714561,0,12.5480638731125,13.8842318209386,2.00736978401226,8.36537591540836,8.36537591540836,8.36537591540836,"温升偏弱; 未触发电机/MCU限流; 支路峰值高于30s窗口参考, 高频边界需试验确认; 三支路同步分流, 需核对支路均衡和母线压力; 电气硬限制满足; 析锂参考边界未触发; 30s/60s规格窗口仅作低频参考"
三包并联单电机,三包并联整体输出，单电机脉冲,3,nominal,-20,0.5,1250,0.5,1.2,1.2,0.527568232913345,37.9097882553612,36.1384239545641,0.900309515559644,2.74593034657934,0,36.1384239545641,90.8350617742102,439.230540399827,758.582071695472,146.410180133276,252.860690565157,439.230540399827,439.230540399827,1.25218979422365,1.02535702902487,Inf,3.2,2.79407260660615,3.6,97.2348830142814,6.98875721665147,97.2348830142814,706.51112879562,0,0,1,none,电气硬限制满足; 析锂参考边界未触发; 30s/60s规格窗口仅作低频参考,18.0692119772821,0.450154757779822,1.37296517328967,0,18.0692119772821,19.8923319083515,2.87601550603241,12.046141318188,12.046141318188,12.046141318188,"温升有初步意义; 未触发电机/MCU限流; 支路峰值高于30s窗口参考, 高频边界需试验确认; 三支路同步分流, 需核对支路均衡和母线压力; 电气硬限制满足; 析锂参考边界未触发; 30s/60s规格窗口仅作低频参考"
